cif,a,b,c,alpha,beta,gamma
1100282,8.424,14.773,22.165,90.0,90.0,90.0
1100283,14.462,17.299,17.405,90.0,90.0,90.0
1100285,8.745,8.845,33.451,90.0,90.0,90.0
1100292,8.116,9.684,13.998,90.0,90.0,90.0
1100293,8.886,10.706,12.807,109.5,108.06,98.94
1100295,10.334,11.834,16.445,90.0,102.33,90.0
1100298,9.786,10.649,16.435,90.0,98.6,90.0
1100304,23.355,11.187,15.629,90.0,111.66,90.0
1100306,6.11,9.353,14.739,82.96,83.11,85.04
1100310,10.298,9.915,10.835,90.0,114.62,90.0
1100311,7.894,16.227,9.707,90.0,101.01,90.0
1100314,8.52,9.939,23.674,90.0,90.0,90.0
1100319,9.695,12.819,13.696,90.0,90.0,90.0
1100322,15.462,6.78,19.762,90.0,101.84,90.0
1100333,9.106,9.394,29.67317,90.0,104.71354,90.0
1100334,6.326,11.667,16.42603,90.0,107.66387,90.0
1100335,6.351,11.877,17.92083,90.0,109.83339,90.0
1100336,6.329,7.805,16.812,77.29,83.14,78.75
1100347,9.097,9.616,10.958,95.31,93.44,108.19
1100350,17.641,11.787,19.314,90.0,99.39,90.0
1100351,8.456,17.175,12.34,90.0,107.67,90.0
1100352,9.095,10.164,22.41,90.0,90.0,90.0
1100357,11.886,13.827,18.591,90.0,90.0,90.0
1100358,19.69,11.788,19.56,90.0,101.28,90.0
1100362,17.503,8.168,24.06517,90.0,131.25639,90.0
1100363,8.989,14.051,15.186,93.66,92.89,92.51
1100365,14.715,15.029,15.43,90.0,90.0,90.0
1100377,10.555,7.983,14.936,90.0,109.12,90.0
1100378,8.01,14.74,22.811,90.0,90.0,90.0
1100379,10.31,18.718,23.545,90.0,90.0,90.0
1100382,10.966,11.597,19.015,90.0,90.0,90.0
1100390,17.61,7.534,26.30452,90.0,120.10753,90.0
1100391,12.026,12.242,17.667,90.0,90.0,90.0
1100406,9.889,15.107,18.628,90.0,90.0,90.0
1100408,12.231,10.902,14.828,90.0,112.21,90.0
1100412,13.057,13.057,13.057,90.0,90.0,90.0
1100416,9.109,9.436,19.077,90.0,90.0,90.0
1100422,6.466,17.319,15.13757,90.0,111.90081,90.0
1100424,8.724,11.463,14.777,108.12,103.99,99.47
1100442,5.291,13.453,16.941,90.0,90.0,90.0
1100460,13.82,13.82,8.625,90.0,90.0,120.0
1100463,6.542,8.973,17.092,90.0,90.0,90.0
1100469,9.876,11.023,29.415,90.0,92.51,90.0
1100471,13.61,8.1956,14.225,90.0,109.859,90.0
1100493,8.895,14.233,17.39428,90.0,107.34907,90.0
1100495,16.807,16.807,9.015,90.0,90.0,90.0
1100499,14.434,14.434,7.147,90.0,90.0,90.0
1100517,7.515,13.748,18.678,90.0,90.0,90.0
1100529,8.32,7.893,12.691,90.0,91.07,90.0
1100531,5.9874,17.461,12.965,90.0,95.339,90.0
1100536,6.47,13.708,17.352,90.0,90.0,90.0
1100552,5.9843,15.9963,21.462,90.0,90.0,90.0
1100556,11.7748,11.9929,13.0829,105.841,99.654,110.541
1100561,10.187,12.329,12.8596,83.71757,113.25159,108.38
1100590,10.621,10.918,11.842,77.56,67.2,81.25
1100592,9.7666,11.4985,11.5003,91.259,110.611,94.302
1100593,10.1842,8.9716,14.35,90.0,96.139,90.0
1100608,17.69,7.9335,22.382,90.0,90.671,90.0
1100609,12.546,14.113,20.899,90.0,90.0,90.0
1100623,10.262,8.929,25.702,90.0,92.4,90.0
1100626,9.8662,20.7898,18.41579,90.0,109.03916,90.0
1100633,5.643,12.061,14.753,90.0,90.0,90.0
1100639,10.4739,10.0858,17.31545,90.0,123.20005,90.0
1100640,10.035,8.896,25.643,90.0,91.94,90.0
1100649,7.685,15.625,23.028,90.0,90.0,90.0
1100650,6.28,8.73,14.21,90.0,90.0,90.0
1100653,10.214,12.734,16.062,84.74,87.84,75.77
1100655,7.9029,15.878,22.125,90.0,90.0,90.0
1100657,27.238,6.0517,11.726,90.0,99.433,90.0
1100663,7.2782,8.6423,13.5608,90.0,90.0,90.0
1100675,21.724,7.9633,13.6074,90.0,95.924,90.0
1100678,14.363,11.881,15.71,90.0,107.664,90.0
1100679,5.9271,10.4686,11.9543,114.698,102.365,87.88
1100680,5.364,21.872,23.516,90.0,90.0,90.0
1100685,6.5534,7.4907,12.03,85.42,82.92,74.83
1100686,5.2095,14.1845,7.1599,90.0,123.92419,90.0
1100693,9.3177,10.0414,11.7532,105.928,109.526,96.78
1100698,9.351,10.314,10.441,105.338,102.112,102.073
1100699,8.077,13.919,14.69166,90.0,118.49485,90.0
1100703,11.445,13.146,17.529,100.182,92.571,115.658
1100738,13.236,13.659,14.778,94.841,101.952,97.012
1100743,10.318,13.0706,15.399,114.341,94.651,101.106
1100745,10.1114,13.1679,14.002,72.019,70.639,77.02
1100752,17.5832,17.5832,12.1881,90.0,90.0,90.0
1100754,4.9587,15.917,17.412,90.0,90.0,90.0
1100759,6.72,9.494,10.682,111.979,96.879,106.678
1100761,12.401,13.607,14.801,90.0,110.628,90.0
1100763,9.3753,14.52,19.117,81.536,83.552,74.87
1100765,9.392,12.838,19.134,90.0,90.0,90.0
1100768,21.345,8.6672,24.5,90.0,98.926,90.0
1100781,11.16,12.854,21.44,82.84,83.35,85.24
1100783,12.432,16.167,15.208,90.0,105.025,90.0
1100786,9.3637,10.4141,11.7381,106.552,110.496,88.382
1100788,6.697,15.428,21.365,90.0,90.0,90.0
1100793,12.574,16.472,18.363,90.0,92.06,90.0
1100794,10.932,12.939,22.815,90.0,90.0,90.0
1100795,11.562,15.644,17.925,89.85,103.79,93.48
1100796,8.329,19.648,16.22102,90.0,116.41515,90.0
1100800,9.7722,11.3369,17.0066,98.372,102.866,99.863
1100801,6.5764,13.4764,17.321,75.545,81.394,82.551
1100803,9.2895,9.3501,18.2636,90.0,90.0,90.0
1100805,6.9618,9.6073,16.1541,106.781,89.975,98.177
1100807,10.579,12.7402,21.58617,90.0,107.56646,90.0
1100808,13.5918,10.7345,16.442,90.0,113.142,90.0
1100811,9.3597,10.7886,12.1749,72.8419,76.2046,72.8192
1100812,13.882,14.823,20.63506,90.0,131.35206,90.0
1100823,10.0582,10.9779,28.1698,90.0,90.0,90.0
1100824,11.0875,19.7843,18.57218,90.0,122.8714,90.0
1100828,12.115,9.2921,9.9839,90.0,91.525,90.0
1100833,8.9539,12.9892,15.4944,83.782,79.915,78.659
1100837,15.0158,8.3209,16.4714,90.0,114.331,90.0
1100839,10.3437,10.4068,14.8969,93.53,93.912,102.042
1100852,9.066,32.7224,9.1682,90.0,111.444,90.0
1100860,8.4242,21.933,13.93193,90.0,126.13756,90.0
1100862,8.084,8.084,20.631,90.0,90.0,90.0
1100866,7.3539,10.8603,14.5517,91.929,91.323,101.547
1100873,12.6218,13.3776,14.3654,92.678,91.051,109.958
1100877,7.6298,11.3416,14.0086,103.785,95.97,91.487
1100880,10.4959,12.347,12.762,75.86,83.084,76.385
1100890,7.7278,10.5188,12.0885,101.449,100.901,95.453
1100891,14.89,7.379,19.12,90.0,110.62,90.0
1100893,10.1565,25.6619,16.1795,90.0,110.5437,90.0
1100905,10.554,10.944,13.145,98.745,92.067,98.33
1100906,8.9463,21.7605,19.44498,90.0,106.18837,90.0
1100907,10.7589,17.8696,22.667,90.0,90.0,90.0
1100909,8.849,9.206,9.8438,63.196,76.908,73.937
1100914,5.959,14.956,19.737,90.0,90.0,90.0
1100936,7.285,10.067,8.103,90.0,112.21,90.0
1100937,8.4647,8.8715,14.3655,90.0,90.0,90.0
1100944,11.196,14.428,34.039,90.0,90.0,90.0
1100945,13.6062,15.2525,15.6016,113.505,93.348,105.418
1100966,10.078,18.958,15.13418,90.0,118.89798,90.0
1100974,15.816,8.9899,11.474,90.0,117.899,90.0
1100985,8.024,12.722,13.984,90.0,90.0,90.0
1100988,7.6369,8.519,18.2777,84.952,84.505,65.275
1100992,4.6629,5.7364,25.863,90.0,94.627,90.0
1101001,32.02,7.4123,9.3147,90.0,97.939,90.0
1101008,42.43,7.5982,9.295,90.0,95.624,90.0
1101009,9.2,7.364,21.1,90.0,95.085,90.0
1101052,11.0481,18.27,21.386,65.966,83.287,86.043
1101056,6.8078,9.3184,17.5481,90.0,90.0,90.0
1101059,5.6419,8.6644,11.136,74.07,81.49,76.53
1101074,11.9565,14.422,23.888,90.0,104.132,90.0
1101075,11.6132,12.2274,14.7856,97.278,108.381,110.615
1101089,11.4188,10.5354,17.07777,90.0,124.3802,90.0
1101091,9.3138,10.1641,18.0633,90.0,90.0,90.0
1101100,12.925,6.367,16.628,90.0,98.07,90.0
1101102,7.7878,8.6616,10.9133,97.841,106.91,94.22
1101107,8.749,14.213,21.2,90.0,90.0,90.0
1101112,8.2107,9.3093,26.8707,90.0,90.0,90.0
1101115,8.128,8.824,9.993,115.05,101.83,91.75
1101128,13.315,8.539,15.88294,90.0,123.82675,90.0
1101129,7.2294,11.54,14.67,90.0,90.0,90.0
1101131,9.5273,9.972,11.249,94.794,100.304,91.354
1101132,4.86719,20.57261,24.30122,90.0,90.0,90.0
1101135,13.752,12.5658,19.215,90.0,118.08,90.0
1101140,8.9054,8.9054,37.978,90.0,90.0,90.0
1101141,13.362,13.566,22.532,90.0,90.0,90.0
1101158,14.99,14.936,22.17601,90.0,127.4862,90.0
1101176,7.4265,9.3477,16.793,90.0,90.0,90.0
1101177,7.4362,19.1491,9.3446,90.0,90.0,90.0
1101180,8.9297,8.9297,34.847,90.0,90.0,90.0
1101181,14.5794,10.2424,18.7815,90.0,98.837,90.0
1101183,15.2003,10.2122,18.5903,90.0,103.53,90.0
1101184,15.712,10.03,18.656,90.0,103.328,90.0
1101189,15.0877,10.2027,18.6376,90.0,102.521,90.0
1101191,15.2768,10.2216,18.6279,90.0,103.252,90.0
1101193,6.0846,13.4657,12.2895,90.0,103.401,90.0
1101194,6.0678,13.4811,14.6046,90.0,98.73,90.0
1101195,6.0553,13.47,16.941,90.0,95.026,90.0
1200001,9.1737,15.9407,19.015,90.0,90.0,90.0
1200021,9.8681,11.41,12.4556,90.0,101.318,90.0
1500002,13.786,9.4013,17.6679,90.0,98.672,90.0
1500003,12.8903,13.1999,14.7455,90.0,117.673,90.0
1500007,12.0872,18.6201,24.0877,90.0,90.0,90.0
1500009,9.752,9.048,10.2635,90.0,104.493,90.0
1500018,13.2076,22.2625,14.1257,90.0,102.797,90.0
1500026,6.811,8.7316,8.9234,86.413,67.813,87.315
1500028,7.1685,40.985,8.4355,90.0,113.298,90.0
1500036,8.5015,9.1721,10.1821,87.25,87.41,65.661
1500037,7.7462,8.0979,9.9361,74.563,80.102,63.533
1500040,7.24228,16.2155,16.33228,90.0,90.0,90.0
1501472,11.4117,16.3761,22.99069,90.0,114.62766,90.0
1501548,4.8615,7.4585,19.034,83.881,84.671,79.308
1501549,7.5805,11.1838,25.627,94.378,92.854,101.374
1501550,8.8653,9.4282,10.7014,104.685,90.861,98.832
1501557,25.716,7.8986,9.9444,90.0,94.775,90.0
1501565,8.0049,8.5815,32.3805,90.0,90.0,90.0
1501566,9.7778,9.7778,14.0111,90.0,90.0,90.0
1501596,17.1474,17.1474,5.3885,90.0,90.0,120.0
1501600,19.758,10.8646,36.649,90.0,90.759,90.0
1501618,11.237,20.367,19.002,90.0,102.048,90.0
1501628,9.9617,9.9617,26.747,90.0,90.0,90.0
1501634,17.9167,6.2563,23.26912,90.0,119.73543,90.0
1501636,13.5519,13.5519,10.7761,90.0,90.0,90.0
1501638,10.384,17.969,15.21374,90.0,132.66135,90.0
1501641,8.3329,6.9106,17.068,90.0,94.18,90.0
1501651,7.3166,20.663,13.874,90.0,101.44,90.0
1501652,12.692,8.495,20.463,90.0,107.52,90.0
1501657,11.724,9.2465,15.567,90.0,95.26,90.0
1501663,16.1237,5.4114,16.7856,90.0,100.73,90.0
1501667,9.0566,12.7489,12.9111,110.172,103.14,105.713
1501671,5.1965,10.0137,23.4643,94.749,92.033,101.423
1501679,12.6039,17.4686,21.7674,71.24,80.801,71.7
1501683,8.1037,10.127,12.519,90.0,90.0,90.0
1501700,10.0526,11.8361,14.5638,88.56,97.83,111.39
1501707,5.7587,17.681,21.772,111.793,91.7,92.295
1501724,6.769,10.267,13.383,90.0,90.0,90.0
1501728,6.1089,9.7134,34.40526,90.0,98.50687,90.0
1501746,10.415,14.179,20.353,90.0,90.0,90.0
1501751,7.947,8.13,8.153,85.9,103.74,115.15
1501752,7.462,10.6319,14.242,90.0,102.453,90.0
1501759,7.0036,16.138,22.75,90.0,90.0,90.0
1501760,10.9187,10.9859,14.7065,90.0,109.838,90.0
1501764,6.7904,11.6274,26.582,90.0,90.0,90.0
1501772,19.191,9.8248,17.327,90.0,110.442,90.0
1501774,7.6537,12.4352,16.3279,73.674,85.27,76.176
1501775,6.43,10.419,26.21,98.166,90.558,91.15
1501780,23.2628,8.7389,16.6065,90.0,93.635,90.0
1501786,6.694,17.8966,17.2184,90.0,93.3214,90.0
1501793,9.1472,11.3899,32.6773,90.0,90.0,90.0
1501796,6.7198,12.2064,8.2198,90.0,107.746,90.0
1501798,11.916,6.673,21.319,90.0,90.46,90.0
1501800,9.2997,6.9294,10.8143,90.0,112.279,90.0
1501805,9.90868,34.4359,14.3561,90.0,90.0,90.0
1501806,7.3433,11.4642,9.1189,90.0,107.807,90.0
1501807,7.2182,8.5374,12.1649,90.0,99.722,90.0
1501811,7.7118,10.43,25.351,90.0,90.0,90.0
1501819,6.5336,14.5778,23.6095,90.0,90.0,90.0
1501821,6.1059,12.3606,34.9384,90.0,90.0,90.0
1501825,10.9434,12.4201,22.1019,90.0,90.0,90.0
1501831,6.7903,7.0914,14.7228,78.885,81.171,63.15
1501832,10.0636,14.663,24.5968,90.0,90.0,90.0
1501833,9.873,14.759,15.008,90.0,90.0,90.0
1501838,10.2388,12.9739,30.5211,90.0,90.0,90.0
1501842,7.155,25.307,12.83473,90.0,123.88417,90.0
1501843,31.391,7.212,12.407,90.0,103.261,90.0
1501845,7.5,17.596,10.344,90.0,98.773,90.0
1501846,7.541,10.852,36.43,90.0,90.0,90.0
1501848,10.389,10.4473,23.0709,90.0,90.0,90.0
1501850,13.793,15.338,15.4883,90.0,90.0,90.0
1501852,8.9091,4.86,17.9948,90.0,100.636,90.0
1501853,7.3881,10.9108,15.096,101.546,95.941,105.033
1501856,7.1397,6.5723,21.7434,90.0,98.501,90.0
1501857,12.0135,12.644,13.0635,90.0,90.0,90.0
1501858,6.1275,9.7503,35.2888,90.0,90.0,90.0
1501862,14.2119,16.668,18.1682,90.0,90.0,90.0
1501867,6.124,14.952,12.56,90.0,91.07,90.0
1501868,6.297,19.655,8.8472,90.0,91.87,90.0
1501869,7.4253,6.7697,16.333,90.0,102.13,90.0
1501870,5.4202,10.233,18.723,90.0,90.0,90.0
1501871,11.193,10.374,13.163,90.0,106.797,90.0
1501876,7.5957,11.494,21.526,90.0,90.0,90.0
1501880,8.3049,9.498,15.5636,99.4404,99.1386,107.5372
1501887,11.2893,11.9604,12.11,84.75,84.635,76.004
1501891,14.854,10.059,22.557,90.0,110.26,90.0
1501894,8.007,15.022,17.487,90.0,90.0,90.0
1501905,9.146,10.974,26.34623,90.0,110.05466,90.0
1501906,6.6653,8.3058,31.2578,90.0,92.539,90.0
1501910,6.1374,11.8458,30.2363,90.0,90.0,90.0
1501911,17.639,13.026,12.1899,90.0,122.269,90.0
1501915,11.045,11.746,17.827,90.0,90.0,90.0
1501916,11.0997,8.6383,13.8782,90.0,91.386,90.0
1501928,9.6288,10.5846,11.482,75.515,80.586,83.926
1501929,15.7461,15.7461,11.9364,90.0,90.0,120.0
1501930,8.98499,16.8485,23.4132,90.0,90.0,90.0
1501935,7.659,14.452,26.66,90.0,90.0,90.0
1501938,11.3248,12.6475,14.4129,90.0,90.0,90.0
1501942,9.4752,7.9303,12.82,90.0,102.782,90.0
1501943,17.959,17.959,7.9998,90.0,90.0,120.0
1501945,8.0069,15.2932,22.54824,90.0,102.87408,90.0
1501947,9.8093,12.2537,12.4626,88.876,103.379,97.627
1501948,12.3332,12.9665,13.9933,100.449,111.684,112.065
1501952,9.2258,12.5277,16.8274,90.0,103.3648,90.0
1501955,8.191,9.456,10.496,95.84,99.81,110.54
1501961,9.3961,9.469,10.2833,111.6203,81.4469,117.6342
1501962,9.6999,13.5546,13.8504,90.0,106.2324,90.0
1501964,11.4404,12.2759,14.3996,90.0,90.0,90.0
1501972,7.8896,9.0992,9.4428,88.983,84.074,83.609
1501973,8.8643,11.8667,10.0142,90.0,107.486,90.0
1501976,10.145,9.4248,21.513,90.0,100.57,90.0
1501979,15.176,9.6244,8.8976,90.0,94.396,90.0
1501984,11.3502,18.681,12.648,90.0,103.573,90.0
1501985,13.776,8.3633,18.579,90.0,96.626,90.0
1501988,5.8869,12.4397,30.019,90.0,90.0,90.0
1501990,12.6085,5.7821,15.108,90.0,112.947,90.0
1502000,6.2237,12.171,13.138,82.83,80.74,82.4
1502016,20.3854,10.05033,21.6071,90.0,97.21,90.0
1502018,10.5885,11.549,12.6474,78.5,67.748,74.424
1502019,10.4925,15.2878,19.46572,90.0,116.79036,90.0
1502032,9.3686,12.1651,12.2768,65.465,81.937,81.928
1502033,8.148,23.74,12.404,90.0,92.161,90.0
1502034,13.196,13.291,15.96,90.0,98.526,90.0
1502036,21.849,12.3571,16.732,90.0,100.169,90.0
1502049,5.1827,8.0456,20.4481,90.0,90.0,90.0
1502056,7.7254,8.2025,29.583,90.0,96.638,90.0
1502059,9.248,10.0534,13.1721,106.972,89.186,98.899
1502062,12.4562,14.7749,15.534,96.833,108.722,109.903
1502064,8.611,9.94,14.072,101.868,101.616,108.946
1502066,15.4246,5.5367,23.15606,90.0,118.41532,90.0
1502067,10.8154,10.8724,15.4707,90.0,90.0,90.0
1502073,12.71437,9.95279,21.79524,90.0,116.63747,90.0
1502076,5.046,14.874,18.545,77.02,83.19,82.81
1502078,7.0978,22.731,11.178,90.0,117.72,90.0
1502082,10.065,5.1868,18.275,90.0,98.279,90.0
1502085,11.217,10.848,18.81,90.0,100.54,90.0
1502091,8.3963,11.4021,26.4261,90.0,90.0,90.0
1502092,8.39,22.555,23.123,90.0,90.0,90.0
1502095,9.5185,10.7567,16.0768,90.0,90.0,90.0
1502096,9.6153,11.8618,12.3299,115.989,89.001,104.932
1502097,8.2245,17.4342,19.75127,90.0,111.87555,90.0
1502108,8.8027,9.9264,13.7092,90.0,90.0,90.0
1502109,8.0746,10.5381,19.0147,90.0,98.0,90.0
1502111,12.146,12.8011,18.387,90.0,90.0,90.0
1502119,7.4099,13.2943,27.6216,90.0,90.0,90.0
1502122,9.047,10.1467,13.3148,79.768,78.065,69.549
1502123,10.5159,12.1257,12.5652,86.115,75.775,74.108
1502124,14.2399,8.1577,15.2401,90.0,94.049,90.0
1502127,9.2658,25.888,11.1705,90.0,95.121,90.0
1502133,10.774,14.2273,19.8345,90.0,90.0,90.0
1502142,9.7809,15.4141,15.56866,90.0,120.78915,90.0
1502144,5.997,19.04,14.366,90.0,90.985,90.0
1502149,7.9148,14.525,14.897,90.0,90.0,90.0
1502151,14.8341,8.296,15.3758,90.0,109.739,90.0
1502154,8.9833,10.722,13.0616,90.0,90.0,90.0
1502161,7.6817,13.2317,30.462,90.0,95.312,90.0
1502165,16.768,20.434,11.1052,90.0,107.415,90.0
1502169,7.7416,13.653,17.403,96.55,96.65,101.67
1502171,10.3359,14.861,19.5709,90.0,90.0,90.0
1502172,6.0074,19.0009,16.48619,90.0,110.88754,90.0
1502174,5.954,14.788,11.29714,90.0,118.78046,90.0
1502199,8.4887,10.4646,16.491,90.0,90.0,90.0
1502201,8.6606,7.5271,11.6989,90.0,109.834,90.0
1502203,9.1415,11.9955,12.379,114.061,92.973,103.834
1502208,10.487,11.7829,12.0638,90.0,90.0,90.0
1502213,8.7316,11.9598,16.9623,90.0,90.0,90.0
1502218,13.573,12.758,16.731,90.0,104.046,90.0
1502220,8.37,11.7321,12.65,84.709,76.761,81.899
1502221,9.6423,11.2841,15.9696,90.0,96.361,90.0
1502222,14.1865,9.5653,16.431,90.0,106.411,90.0
1502223,7.2964,13.4415,27.0296,90.0,90.0,90.0
1502233,14.7694,9.5633,20.07219,90.0,120.45528,90.0
1502236,9.165,18.929,30.39,90.0,90.0,90.0
1502240,6.08,14.78,17.617,90.0,90.0,90.0
1502244,8.9761,11.3076,12.297,63.7884,78.2742,73.1019
1502245,10.0314,10.7337,14.5403,77.379,77.553,84.994
1502247,18.698,6.3535,13.0976,90.0,123.74,90.0
1502252,6.0126,10.4102,10.6716,114.547,88.454,95.288
1502253,8.3176,16.6568,13.6584,90.0,90.566,90.0
1502264,14.327,20.05,18.357,90.0,93.811,90.0
1502272,10.1633,9.93,12.1706,90.0,96.277,90.0
1502273,9.928,10.295,17.911,90.0,90.0,90.0
1502274,9.8,9.819,21.005,79.398,80.237,79.763
1502277,9.1006,10.0753,14.3954,90.0,90.0,90.0
1502279,8.5637,12.1843,15.3,90.0,90.0,90.0
1502280,10.4374,10.5171,11.037,104.297,97.447,117.915
1502281,10.0288,15.9042,15.9492,115.647,107.906,91.763
1502284,9.9605,11.4468,13.0628,111.413,100.86,101.302
1502286,10.3327,15.1209,11.5507,90.0,93.507,90.0
1502289,4.8822,14.1165,10.0699,90.0,93.89,90.0
1502292,10.813,6.7024,22.50443,90.0,116.05801,90.0
1502294,5.9124,11.5275,30.0634,90.0,90.0,90.0
1502298,9.7813,7.8382,18.103,90.0,90.163,90.0
1502299,7.9106,11.5982,22.2085,90.0,90.0,90.0
1502302,11.3164,12.8458,17.4968,104.4582,99.5137,92.1125
1502307,7.03389,8.73956,33.12196,90.0,98.45796,90.0
1502311,9.9829,7.6696,19.7014,90.0,93.905,90.0
1502317,13.8192,5.693,14.7334,90.0,116.69,90.0
1502318,10.9585,8.8553,15.429,90.0,109.564,90.0
1502320,8.265,6.753,14.254,90.0,103.68,90.0
1502325,6.0225,19.0267,21.5818,90.0,90.0,90.0
1502334,7.6826,11.6731,21.484,90.0,90.0,90.0
1502344,10.4782,12.795,12.858,90.0,90.0,90.0
1502345,18.9697,6.1032,12.078,90.0,95.162,90.0
1502346,9.1072,9.1072,42.969,90.0,90.0,90.0
1502350,7.43712,8.62914,36.4793,90.0,90.0,90.0
1502351,7.5858,13.6821,18.7826,74.53,88.182,87.442
1502353,5.0041,9.4388,14.0451,101.515,96.482,97.466
1502357,10.497,10.773,12.762,104.976,109.023,107.143
1502363,10.1874,10.7672,11.9335,90.0,90.0,90.0
1502377,20.685,9.8517,20.938,90.0,94.334,90.0
1502379,9.5657,14.934,17.7739,90.0,90.0,90.0
1502383,10.1866,13.017,22.877,90.0,90.0,90.0
1502387,9.914,12.771,18.545,90.0,90.0,90.0
1502390,11.2796,13.3646,19.947,90.0,105.507,90.0
1502392,11.0839,7.5405,12.2852,90.0,106.18,90.0
1502393,8.6914,12.794,22.586,90.0,90.0,90.0
1502396,8.672,11.45,18.265,90.0,95.833,90.0
1502398,7.8071,30.742,8.1999,90.0,103.408,90.0
1502399,8.14,11.896,12.943,90.0,90.0,90.0
1502401,7.1374,10.4915,23.5245,96.57,91.75,108.864
1502425,9.768,10.747,22.023,90.0,90.0,90.0
1502427,8.9942,9.2272,12.0198,99.073,104.225,101.47
1502428,6.3316,13.9411,21.9909,90.0,90.0,90.0
1502436,11.6459,4.9893,16.0289,90.0,109.236,90.0
1502437,16.951,8.451,18.568,90.0,91.12,90.0
1502441,8.3121,8.8281,27.683,90.0,90.0,90.0
1502447,5.8722,9.695,9.999,109.909,93.647,97.854
1502453,5.6443,8.8426,33.8277,90.0,90.0,90.0
1502464,5.178,7.4431,22.6665,85.6807,87.5095,80.988
1502465,9.764,4.8363,46.39918,90.0,100.57622,90.0
1502468,7.6533,9.2536,12.3889,88.167,101.617,109.083
1502471,6.025,8.067,14.859,90.0,92.998,90.0
1502477,6.5606,7.3288,13.452,83.044,87.215,77.447
1502478,9.821,7.317,10.846,90.0,108.497,90.0
1502484,13.6531,13.6881,14.2989,82.661,113.278,117.047
1502485,11.179,12.528,17.631,83.243,85.577,80.954
1502487,15.2541,13.8703,19.9768,90.0,111.199,90.0
1502491,8.974,14.304,24.8,90.0,90.0,90.0
1502497,13.7829,12.6372,19.3995,90.0,91.496,90.0
1502498,11.743,5.2952,25.14,90.0,93.61,90.0
1502500,7.1319,10.2706,24.8328,90.0,90.0,90.0
1502508,10.3717,16.0215,24.5159,90.0,90.0,90.0
1502509,12.7,8.476,22.34797,90.0,120.294,90.0
1502514,10.1786,10.4497,19.1308,90.0,90.0,90.0
1502517,6.004,11.472,14.442,106.29,96.565,97.311
1502520,8.0667,8.2677,14.2711,90.0,101.049,90.0
