cif,a,b,c,alpha,beta,gamma
2227622,10.961,10.6285,10.2413,86.7396,85.6249,87.9143
2233898,15.137,10.8561,5.7638,92.0363,90.7783,90.2814
4315863,14.9453,14.0402,13.7927,89.0982,89.9217,91.6218
4103805,10.2096,6.5798,4.0096,98.9487,99.4074,91.8001
2001092,8.8383,7.7848,7.2823,100.1614,101.5265,103.3649
2011002,12.2434,11.3007,7.0761,92.3393,89.3663,90.1706
2203889,11.3556,8.7988,6.7366,91.3045,94.2316,90.315
7052598,15.0338,9.9018,7.5371,92.8733,93.8559,92.4754
4102295,23.8863,8.2758,5.2665,92.169,86.0477,86.3731
4062299,13.9091,10.0914,7.6054,94.0007,93.5372,93.3333
4025969,10.7803,9.9038,8.7348,102.3208,103.2163,101.7931
2012237,8.2171,6.3798,4.5272,96.4595,97.1564,94.2366
2218796,11.7138,7.6501,6.479,93.6169,92.8086,90.3738
2208545,20.5682,12.3897,8.4032,92.9443,94.3163,92.8184
1502082,18.4917,9.7075,5.1348,94.4907,86.8078,90.9103
4022741,17.0612,16.2399,8.1045,91.0198,92.6041,91.2252
2019746,12.4028,8.8023,5.6082,95.1071,94.3702,92.7917
4511395,10.2884,7.2726,6.459,94.0786,95.6052,92.4245
2005989,21.7344,11.4867,7.3032,93.2249,90.386,90.4426
4507670,10.099,9.7317,9.026,95.9388,95.7406,98.8847
4066158,14.6261,13.1182,12.3081,89.2031,91.2825,90.3416
4115961,19.5501,10.352,6.0384,91.3702,89.2107,90.1964
1520672,20.4359,7.9998,5.8121,94.7036,86.3378,89.1326
7152181,9.8654,9.9356,9.5815,105.6015,103.5348,99.1284
4075185,19.6757,14.1202,7.7463,94.7495,92.4606,91.5402
4085734,22.0629,16.0404,9.1389,91.7577,91.5571,96.488
7224724,13.0761,8.6211,5.854,93.4663,93.7049,92.135
2211872,28.7749,9.3127,8.2934,94.74,85.1484,88.0834
4511394,10.2994,7.2663,6.4671,94.1172,95.5774,92.4295
2106015,13.554,8.4838,7.3028,92.0772,92.3401,89.5063
1513470,16.9305,9.1136,4.7012,90.9964,89.0295,90.1133
2202018,22.2589,10.6757,5.3227,95.0539,85.4542,94.1294
7213019,13.096,11.955,7.2238,92.477,90.4016,91.828
7213410,12.852,10.203,6.2727,92.5126,91.1002,94.0473
4020084,13.9634,10.4299,7.0508,93.1473,92.633,93.4791
2103868,23.3565,7.1636,6.799,93.8469,92.6638,85.7455
7203939,9.0484,7.3001,6.1704,92.8716,93.3589,92.3826
4028424,13.0657,10.0422,7.5264,92.7857,91.979,91.0199
4501828,15.1439,8.6872,7.4465,92.3931,92.8377,89.7171
7009775,13.7907,9.3571,8.1464,93.003,92.8066,90.6826
4062515,18.308,14.2838,6.7352,92.8015,89.9287,89.1481
4121528,17.4101,16.1517,14.8069,91.8525,91.1647,88.568
4072923,11.6302,9.2919,8.1522,96.4746,97.1594,96.0658
4513009,17.6505,6.4473,5.3116,93.975,92.882,90.0511
2001877,11.1604,8.6974,7.3414,93.4233,93.6343,93.4674
2216276,16.9272,10.904,7.0192,92.602,91.0147,91.6991
2210060,21.5363,7.6584,6.199,93.8608,88.2269,86.4587
1505675,11.9643,8.3434,6.0311,94.2206,93.3887,92.2478
4303487,18.5008,9.6976,8.4104,94.0161,94.4603,92.0757
4063333,17.3188,9.5891,8.5847,95.6395,95.7227,91.303
2009722,11.9389,10.6753,7.5187,92.3515,90.8072,99.7162
4336168,20.9782,12.691,12.0304,89.1423,92.509,89.6252
4101685,9.805,8.0495,6.8325,93.5289,93.3799,92.5867
2216557,12.2845,9.5605,7.5698,92.2356,91.6909,91.083
2236315,11.1015,8.55,5.7372,95.7113,96.2,98.5185
7208024,12.3697,10.3938,4.6955,90.9405,91.9868,91.1381
2208158,14.2714,12.3538,8.8617,93.8294,92.4084,91.204
